
2025/02/08 (12:51:32) | ===> btop++ v.1.4.0
2025/02/08 (12:51:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (12:51:40) | ===> btop++ v.1.4.0
2025/02/08 (12:51:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (21:42:40) | ===> btop++ v.1.4.0
2025/02/10 (21:42:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (14:47:48) | ===> btop++ v.1.4.0
2025/02/12 (14:47:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (05:37:11) | ===> btop++ v.1.4.0
2025/03/01 (05:37:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (12:29:44) | ===> btop++ v.1.4.0
2025/03/07 (12:29:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (23:28:50) | ===> btop++ v.1.4.0
2025/03/09 (23:28:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (23:29:23) | ===> btop++ v.1.4.0
2025/03/09 (23:29:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (23:29:32) | ===> btop++ v.1.4.0
2025/03/09 (23:29:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (23:31:52) | ===> btop++ v.1.4.0
2025/03/09 (23:31:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (23:32:04) | ===> btop++ v.1.4.0
2025/03/09 (23:32:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (23:32:20) | ===> btop++ v.1.4.0
2025/03/09 (23:32:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (23:32:36) | ===> btop++ v.1.4.0
2025/03/09 (23:32:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (23:33:18) | ===> btop++ v.1.4.0
2025/03/09 (23:33:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (23:33:21) | ===> btop++ v.1.4.0
2025/03/09 (23:33:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (23:34:20) | ===> btop++ v.1.4.0
2025/03/09 (23:34:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (23:34:21) | ===> btop++ v.1.4.0
2025/03/09 (23:34:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (23:34:46) | ===> btop++ v.1.4.0
2025/03/09 (23:34:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (23:36:53) | ===> btop++ v.1.4.0
2025/03/09 (23:36:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (23:37:04) | ===> btop++ v.1.4.0
2025/03/09 (23:37:04) | WARNING: Intel GPU: Failed to initialize PMU
